Instrument,Close Price,Open Price,VWAP,Low Price,High Price,Date
NVDA.O,135.43,138.11,136.8956,135.19,139.25,2022-11-01
NVDA.O,132.19,138.5,137.8898,132.1124,142.1,2022-11-02
NVDA.O,134.21,130.43,134.3093,129.56,137.81,2022-11-03
NVDA.O,141.56,139.86,139.8441,136.97,142.29,2022-11-04
NVDA.O,143.01,142.28,141.8201,139.54,144.12,2022-11-07
NVDA.O,146.02,148.01,146.1044,142.16,148.9101,2022-11-08
NVDA.O,137.76,141.615,139.1986,137.5901,142.11,2022-11-09
NVDA.O,157.5,148.0,152.5791,145.47,157.73,2022-11-10
NVDA.O,163.27,158.075,160.5712,154.82,163.89,2022-11-11
NVDA.O,162.95,162.18,163.1565,159.22,165.4,2022-11-14
NVDA.O,166.66,167.215,167.3702,163.82,169.98,2022-11-15
NVDA.O,159.1,161.615,160.7642,158.73,163.62,2022-11-16
NVDA.O,156.77,157.15,158.7006,155.35,162.66,2022-11-17
NVDA.O,154.09,159.66,154.0845,151.2001,160.02,2022-11-18
NVDA.O,153.17,151.47,153.0919,150.8,154.77,2022-11-21
NVDA.O,160.38,153.28,157.3122,151.216,160.5757,2022-11-22
NVDA.O,165.19,160.98,163.5281,160.4801,165.27,2022-11-23
NVDA.O,162.7,163.18,163.4989,161.72,164.87,2022-11-25
NVDA.O,158.27,160.26,160.2387,157.25,163.57,2022-11-28
NVDA.O,156.39,158.27,157.0462,155.2,159.32,2022-11-29
NVDA.O,169.23,156.97,162.707,155.97,169.3,2022-11-30
NVDA.O,171.35,169.99,170.6196,166.35,172.65,2022-12-01
NVDA.O,153.72,151.08,151.0731,147.28,154.7299,2022-07-14
NVDA.O,157.62,156.59,156.2074,154.45,157.82,2022-07-15
NVDA.O,161.01,163.02,164.4071,160.02,168.97,2022-07-18
NVDA.O,169.92,164.86,167.3242,161.7201,171.1,2022-07-19
NVDA.O,178.07,169.47,175.9582,168.01,179.325,2022-07-20
NVDA.O,180.5,178.85,179.0043,175.4456,181.44,2022-07-21
NVDA.O,173.19,178.93,174.1241,171.365,179.67,2022-07-22
NVDA.O,170.24,170.19,168.6881,166.49,171.24,2022-07-25
NVDA.O,165.33,168.89,166.4849,164.78,169.19,2022-07-26
NVDA.O,177.9,170.32,174.9596,169.1301,179.36,2022-07-27
NVDA.O,179.84,179.75,178.4194,174.4,181.4,2022-07-28
NVDA.O,181.63,178.13,180.1941,176.92,182.44,2022-07-29
NVDA.O,184.41,181.82,184.8606,179.9,188.46,2022-08-01
NVDA.O,185.26,181.22,185.4682,180.92,189.3753,2022-08-02
NVDA.O,188.93,181.84,186.2078,181.37,189.68,2022-08-03
NVDA.O,192.15,188.49,190.4135,187.6,192.74,2022-08-04
NVDA.O,189.89,188.1,189.3231,186.66,192.2892,2022-08-05
NVDA.O,177.93,175.02,176.6813,172.42,182.39,2022-08-08
NVDA.O,170.86,172.52,170.4945,167.24,174.4719,2022-08-09
NVDA.O,180.97,176.98,178.0352,173.1701,181.18,2022-08-10
NVDA.O,179.42,181.31,182.4499,178.76,187.07,2022-08-11
NVDA.O,187.09,181.6,184.6253,179.53,187.18,2022-08-12
NVDA.O,190.32,187.01,188.6958,186.13,191.64,2022-08-15
NVDA.O,188.79,189.195,188.4055,185.01,191.42,2022-08-16
NVDA.O,183.35,185.23,183.4788,181.45,186.88,2022-08-17
NVDA.O,187.73,183.01,186.4865,181.83,188.6499,2022-08-18
NVDA.O,178.49,184.06,179.9316,177.7,185.2,2022-08-19
NVDA.O,170.34,174.9,171.98,169.66,175.58,2022-08-22
NVDA.O,171.81,169.885,172.4272,169.7,174.65,2022-08-23
NVDA.O,172.22,170.12,171.9001,168.95,174.06,2022-08-24
NVDA.O,179.13,168.44,175.6361,168.33,179.47,2022-08-25
NVDA.O,162.6,178.57,168.955,162.37,179.24,2022-08-26
NVDA.O,158.01,160.2,159.715,157.67,163.38,2022-08-29
NVDA.O,154.68,159.6,154.7528,151.82,160.39,2022-08-30
NVDA.O,150.94,153.84,151.5735,149.5851,155.4,2022-08-31
NVDA.O,139.37,142.09,136.9003,132.7021,143.8,2022-09-01
NVDA.O,136.47,141.0,138.348,135.91,141.71,2022-09-02
NVDA.O,134.65,137.31,135.5231,133.51,137.79,2022-09-06
NVDA.O,137.14,135.63,135.8623,133.46,138.38,2022-09-07
NVDA.O,139.9,134.59,137.8745,133.69,140.08,2022-09-08
NVDA.O,222.03,217.28,220.7725,214.55,225.0,2022-04-13
NVDA.O,212.58,225.05,217.2638,211.63,227.77,2022-04-14
NVDA.O,217.83,212.0,216.3944,210.79,220.88,2022-04-18
NVDA.O,221.98,217.2,220.4134,213.14,223.73,2022-04-19
NVDA.O,214.82,225.171,216.3316,212.0,226.7037,2022-04-20
NVDA.O,201.83,217.0915,208.5958,200.0,223.92,2022-04-21
NVDA.O,195.15,203.03,198.9034,195.0,204.86,2022-04-22
NVDA.O,199.02,192.02,194.9374,190.96,199.45,2022-04-25
NVDA.O,187.88,197.18,189.9779,186.7,197.88,2022-04-26
NVDA.O,184.15,185.98,186.4391,182.9,191.67,2022-04-27
NVDA.O,197.82,189.67,193.4858,184.8957,200.37,2022-04-28
NVDA.O,185.47,194.02,191.5303,185.17,201.2848,2022-04-29
