Stock,Batch,Slope_1_21,Slope_22_30
AMAT.O,1,0.7286072974191367,0.5116839622641521
AMAT.O,2,-0.07398564162754287,1.1831226415094347
AMAT.O,3,0.30295649452269147,-0.27210566037735845
AMAT.O,4,0.014519437071785678,2.1968509433962278
AMAT.O,5,0.44233420207370666,0.5277358490566038
AMAT.O,6,0.6660994522691704,-0.7777424528301891
AMAT.O,7,0.5781995618153365,-0.48290000000000044
AMAT.O,8,-0.3395849072851481,0.22147830188679135
AMAT.O,9,-0.6849634055951846,-0.1885223880597035
AMAT.O,10,0.803310406885759,0.20492830188679426
AMAT.O,11,0.1813658528951486,-0.20266603773585057
AMAT.O,12,-0.3748000704225354,0.5543339622641501
AMAT.O,13,0.20430176939366917,0.24597886597938082
AMAT.O,14,0.0025435837245696494,0.06307358490566076
AMAT.O,15,0.06108104900932042,0.3485537735849064
AMAT.O,16,0.11711706039382283,-0.20904999999999999
AMAT.O,17,-0.01309092643051771,0.3368902985074635
AMAT.O,18,0.18651525821596238,0.1914632075471699
AMAT.O,19,0.12685988262910783,-0.0018584905660368905
AMAT.O,20,0.0013817013888888922,0.2307716981132071
AMD.O,1,0.7051740848172006,-0.7811059701492543
AMD.O,2,0.1908094659442726,0.051713432835819355
AMD.O,3,0.04689304374409422,0.749451492537314
AMD.O,4,-0.324412720172815,0.6190462686567171
AMD.O,5,0.23828957662436065,-0.12946044776119361
AMD.O,6,-0.44453981424148625,-0.04330074626865716
AMD.O,7,0.116957225256353,1.59727313432836
AMD.O,8,-0.9775516623464443,0.5373119402985072
AMD.O,9,-0.7953247664963461,0.8644716417910451
AMD.O,10,0.2540513390092882,1.123420895522388
AMD.O,11,0.1987764583333333,0.3499686567164185
AMD.O,12,0.05605044865403778,0.9517455223880594
AMD.O,13,-0.07687569444444432,0.8271932835820898
AMD.O,14,0.2917445588235296,0.0816231343283582
AMD.O,15,0.06844986429600093,1.4501858208955234
AMD.O,16,0.45030139186295515,0.16808432835820894
AMD.O,17,0.22455083129767192,-0.31767462686567177
AMD.O,18,0.039999597523219826,0.3561962686567168
AMD.O,19,0.13306625266943908,-0.007276415094338713
AMD.O,20,0.0726580828522112,-0.12080223880597
ASML.O,1,-0.9745024079354927,13.472244029850756
ASML.O,2,-1.1542534829721367,-4.042161940298507
ASML.O,3,-0.31024709407216444,-3.1645738805970085
ASML.O,4,1.8733591240875915,-7.022126119402985
ASML.O,5,1.705319214317321,6.35371940298508
ASML.O,6,-2.0377493266253883,4.386578358208956
ASML.O,7,-3.016267834916895,8.476912686567172
ASML.O,8,0.5572637229102161,2.729323195876292
ASML.O,9,-0.8408696133820772,-4.1938592783505015
ASML.O,10,-5.646489543343656,0.3714768656716346
ASML.O,11,0.12204961094448495,-0.7726104477611947
ASML.O,12,3.3943704204748095,-1.2244470149253746
ASML.O,13,1.4302588785997765,3.460755670103083
ASML.O,14,0.13657467153284716,3.786178358208954
ASML.O,15,1.1051881386861317,-1.5700820895522445
ASML.O,16,-0.4171395046439635,0.5793634020618548
ASML.O,17,0.4971123227710783,-0.3382613402061903
ASML.O,18,0.1110996671826625,1.14941865671642
ASML.O,19,0.5749193854522305,0.7621388059701497
ASML.O,20,0.5981092956656349,0.6635962686567172
AVGO.O,1,2.512035401974612,-0.9912603773584707
AVGO.O,2,4.111499677957325,-2.532420754716993
AVGO.O,3,-2.094142010954615,10.690139622641505
