Stock,Date,Batch,Limit Order Price,First Trigger Date,Low Price,Exit Price,First Trigger Exit Date,First Trigger Exit Price,Profit/Loss (Dollars),Profit/Loss (%)
LRCX.O,2022-01-20,29,607.2765999999999,2022-01-21,604.45,625.4948979999999,It did not fill,607.44,0.16340000000013788,0.026907014036130803
LRCX.O,2022-01-21,29,593.6741999999999,2022-01-24,575.51,611.484426,2022-02-02 00:00:00,611.484426,17.810226000000057,3.0000000000000098
LRCX.O,2022-01-24,29,609.3836,2022-01-25,581.0,627.665108,It did not fill,607.44,-1.9435999999999467,-0.31894524237277583
LRCX.O,2021-07-21,31,624.505,2021-07-27,607.6,643.24015,2021-08-02 00:00:00,643.24015,18.735149999999976,2.999999999999996
LRCX.O,2021-07-22,31,623.2113999999999,2021-07-27,607.6,641.9077419999999,2021-08-02 00:00:00,641.9077419999999,18.69634199999996,2.999999999999994
LRCX.O,2021-07-23,31,627.4646,2021-07-27,607.6,646.288538,2021-08-02 00:00:00,646.288538,18.823938,2.9999999999999996
LRCX.O,2021-07-26,31,627.5822,2021-07-27,607.6,646.4096659999999,2021-08-02 00:00:00,646.4096659999999,18.82746599999996,2.999999999999994
LRCX.O,2021-04-14,32,627.6214,2021-04-19,609.3001,646.450042,2021-04-22 00:00:00,646.450042,18.82864200000006,3.0000000000000093
LRCX.O,2021-04-15,32,636.51,2021-04-19,609.3001,655.6053,It did not fill,611.0,-25.50999999999999,-4.0077924934407925
LRCX.O,2021-04-16,32,630.8358000000001,2021-04-19,609.3001,649.7608740000001,2021-04-22 00:00:00,649.7608740000001,18.925073999999995,2.9999999999999987
LRCX.O,2021-04-19,32,609.2954,2021-04-20,608.2,627.574262,2021-04-22 00:00:00,627.574262,18.278862000000004,3.0000000000000004
LRCX.O,2021-01-20,33,551.74,2021-01-21,551.7,568.2922,It did not fill,532.5,-19.24000000000001,-3.4871497444448485
LRCX.O,2021-01-21,33,552.9062,2021-01-25,552.66,569.493386,It did not fill,532.5,-20.406200000000013,-3.6907164361694647
LRCX.O,2021-01-22,33,552.573,2021-01-26,550.397,569.15019,It did not fill,532.5,-20.07299999999998,-3.6326422029306498
LRCX.O,2021-01-25,33,556.4048,2021-01-26,550.397,573.096944,It did not fill,532.5,-23.904800000000023,-4.296296509304021
LRCX.O,2021-01-26,33,541.6067999999999,2021-01-27,512.01,557.8550039999999,It did not fill,532.5,-9.106799999999907,-1.681441222672963
LRCX.O,2020-10-14,34,366.7503,2020-10-15,358.92,377.752809,2020-11-04 00:00:00,377.752809,11.002509000000032,3.000000000000009
LRCX.O,2020-10-15,34,367.9802,2020-10-16,364.65,379.019606,2020-11-04 00:00:00,379.019606,11.039405999999985,2.9999999999999956
LRCX.O,2020-07-22,35,354.7208,2020-07-23,350.91,365.36242400000003,2020-07-30 00:00:00,365.36242400000003,10.641624000000036,3.0000000000000098
LRCX.O,2020-07-23,35,347.7236,2020-07-24,336.28,358.155308,2020-07-30 00:00:00,358.155308,10.431708000000015,3.0000000000000044
LRCX.O,2020-07-27,35,350.91839999999996,2020-07-28,348.6,361.445952,2020-07-30 00:00:00,361.445952,10.527552000000014,3.0000000000000044
LRCX.O,2020-04-15,36,257.5538,2020-04-21,242.57,265.280414,2020-04-23 00:00:00,265.280414,7.726613999999984,2.9999999999999933
LRCX.O,2020-04-16,36,265.2958,2020-04-21,242.57,273.25467399999997,2020-04-23 00:00:00,273.25467399999997,7.95887399999998,2.9999999999999925
LRCX.O,2020-04-17,36,273.4396,2020-04-20,266.34,281.642788,2020-04-29 00:00:00,281.642788,8.203188000000011,3.0000000000000044
LRCX.O,2020-04-20,36,261.3954,2020-04-21,242.57,269.237262,2020-04-23 00:00:00,269.237262,7.841861999999992,2.9999999999999973
LRCX.O,2020-01-22,37,305.11319999999995,2020-01-24,303.71,314.26659599999994,2020-01-30 00:00:00,314.26659599999994,9.153395999999987,2.999999999999996
LRCX.O,2020-01-23,37,306.1716,2020-01-24,303.71,315.35674800000004,2020-01-30 00:00:00,315.35674800000004,9.185148000000027,3.0000000000000084
LRCX.O,2020-01-24,37,300.4092,2020-01-27,292.69,309.421476,2020-01-30 00:00:00,309.421476,9.012275999999986,2.9999999999999956
LRCX.O,2019-10-17,38,231.378,2019-10-18,230.23,238.31933999999998,2019-10-24 00:00:00,238.31933999999998,6.941339999999997,2.9999999999999987
LRCX.O,2019-10-21,38,233.6908,2019-10-23,231.15,240.701524,2019-10-24 00:00:00,240.701524,7.01072400000001,3.0000000000000044
LRCX.O,2019-07-24,39,212.6404,2019-07-25,210.07,219.019612,It did not fill,198.5,-14.1404,-6.649912246214735
LRCX.O,2019-07-25,39,206.535,2019-07-31,206.16,212.73105,2019-08-01 00:00:00,212.73105,6.196050000000014,3.0000000000000067
LRCX.O,2019-07-26,39,206.535,2019-07-31,206.16,212.73105,2019-08-01 00:00:00,212.73105,6.196050000000014,3.0000000000000067
LRCX.O,2019-07-29,39,206.6036,2019-07-31,206.16,212.80170800000002,2019-08-01 00:00:00,212.80170800000002,6.198108000000019,3.0000000000000093
LRCX.O,2019-07-30,39,207.09359999999998,2019-07-31,206.16,213.30640799999998,2019-08-01 00:00:00,213.30640799999998,6.2128079999999954,2.9999999999999982
AMD.O,2024-01-24,41,174.7242,2024-01-26,174.15,179.965926,2024-02-05 00:00:00,179.965926,5.241726,3.0
AMD.O,2024-01-25,41,176.7234,2024-01-26,174.15,182.025102,It did not fill,171.54,-5.183400000000006,-2.9330581009645615
AMD.O,2024-01-26,41,173.70499999999998,2024-01-30,169.52,178.91615,2024-02-02 00:00:00,178.91615,5.2111500000000035,3.000000000000002
AMD.O,2024-01-29,41,174.2734,2024-01-30,169.52,179.50160200000002,2024-02-05 00:00:00,179.50160200000002,5.22820200000001,3.0000000000000058
AMD.O,2023-10-24,42,99.6366,2023-10-25,95.23,102.625698,2023-11-01 00:00:00,102.625698,2.9890979999999985,2.9999999999999987
AMD.O,2023-10-25,42,94.13390000000001,2023-10-26,93.115,96.95791700000001,2023-11-01 00:00:00,96.95791700000001,2.824016999999998,2.9999999999999973
AMD.O,2023-10-27,42,94.5014,2023-10-31,94.07,97.336442,2023-11-01 00:00:00,97.336442,2.8350420000000014,3.0000000000000013
AMD.O,2023-10-30,42,94.2564,2023-10-31,94.07,97.084092,2023-11-01 00:00:00,97.084092,2.827691999999999,2.9999999999999987
AMD.O,2023-07-25,43,110.74,2023-07-26,109.3,114.0622,2023-08-02 00:00:00,114.0622,3.3222000000000094,3.0000000000000084
AMD.O,2023-04-26,44,84.2212,2023-04-27,84.09,86.74783599999999,2023-05-04 00:00:00,86.74783599999999,2.5266359999999963,2.9999999999999956
AMD.O,2023-01-24,45,73.206,2023-01-25,72.09,75.40218,2023-02-01 00:00:00,75.40218,2.1961799999999982,2.9999999999999973
AMD.O,2023-01-25,45,73.4118,2023-01-30,72.4,75.614154,2023-02-01 00:00:00,75.614154,2.2023539999999997,2.9999999999999996
AMD.O,2023-01-26,45,73.65679999999999,2023-01-27,73.49,75.86650399999999,2023-02-01 00:00:00,75.86650399999999,2.209704000000002,3.0000000000000036
AMD.O,2023-01-27,45,73.89200000000001,2023-01-30,72.4,76.10876000000002,2023-02-01 00:00:00,76.10876000000002,2.216760000000008,3.00000000000001
AMD.O,2022-10-25,46,60.2406,2022-10-26,59.15,62.047818,2022-11-02 00:00:00,62.047818,1.8072179999999989,2.9999999999999982
AMD.O,2022-10-26,46,58.535399999999996,2022-10-27,58.51,60.291461999999996,2022-11-02 00:00:00,60.291461999999996,1.756062,3.0000000000000004
AMD.O,2022-10-28,46,60.7698,2022-10-31,59.525,62.592894,2022-11-02 00:00:00,62.592894,1.8230940000000047,3.000000000000008
AMD.O,2022-04-28,48,87.8472,2022-04-29,85.38,90.48261600000001,2022-05-04 00:00:00,90.48261600000001,2.6354160000000064,3.000000000000007
AMD.O,2022-01-25,49,108.9074,2022-01-26,108.63,112.174622,2022-02-02 00:00:00,112.174622,3.267222000000004,3.0000000000000036
AMD.O,2022-01-26,49,108.49579999999999,2022-01-27,101.94,111.75067399999999,2022-02-02 00:00:00,111.75067399999999,3.254874000000001,3.0000000000000013
AMD.O,2022-01-27,49,100.54799999999999,2022-01-28,99.35,103.56443999999999,2022-02-02 00:00:00,103.56443999999999,3.016440000000003,3.0000000000000036
AMD.O,2021-07-22,51,89.38579999999999,2021-07-27,89.1,92.06737399999999,2021-07-28 00:00:00,92.06737399999999,2.6815739999999977,2.999999999999998
AMD.O,2021-07-23,51,90.307,2021-07-27,89.1,93.01621,2021-07-28 00:00:00,93.01621,2.709209999999999,2.9999999999999987
AMD.O,2021-07-26,51,89.9836,2021-07-27,89.1,92.683108,2021-07-28 00:00:00,92.683108,2.6995080000000087,3.0000000000000098
AMD.O,2021-04-21,52,79.9778,2021-04-22,78.59,82.377134,2021-04-28 00:00:00,82.377134,2.399333999999996,2.999999999999995
AMD.O,2020-10-20,54,79.9288,2020-10-21,79.19,82.326664,2020-11-05 00:00:00,82.326664,2.3978639999999984,2.9999999999999982
AMD.O,2020-10-21,54,77.616,2020-10-27,77.57,79.94448,2020-11-04 00:00:00,79.94448,2.328479999999999,2.9999999999999987
AMD.O,2020-10-22,54,77.8316,2020-10-27,77.57,80.16654799999999,2020-11-04 00:00:00,80.16654799999999,2.334947999999997,2.9999999999999964
AMD.O,2020-10-23,54,80.32079999999999,2020-10-27,77.57,82.730424,2020-11-05 00:00:00,82.730424,2.409624000000008,3.00000000000001
AMD.O,2020-10-26,54,80.5854,2020-10-27,77.57,83.00296200000001,2020-11-05 00:00:00,83.00296200000001,2.4175620000000038,3.0000000000000044
AMD.O,2020-07-22,55,60.5542,2020-07-23,58.6342,62.370826,2020-07-29 00:00:00,62.370826,1.8166259999999994,2.9999999999999987
AMD.O,2020-07-24,55,68.012,2020-07-27,67.79,70.05236000000001,2020-07-29 00:00:00,70.05236000000001,2.040360000000007,3.0000000000000098
AMD.O,2020-07-27,55,67.5906,2020-07-28,67.02,69.618318,2020-07-29 00:00:00,69.618318,2.0277180000000072,3.000000000000011
AMD.O,2020-04-22,56,54.8016,2020-04-24,54.42,56.445648,2020-05-12 00:00:00,56.445648,1.644047999999998,2.999999999999996
AMD.O,2020-04-23,56,54.782,2020-04-24,54.42,56.42546,2020-05-12 00:00:00,56.42546,1.6434600000000046,3.0000000000000084
AMD.O,2020-04-27,56,55.3602,2020-04-28,55.3,57.021006,It did not fill,53.76,-1.600200000000001,-2.890524239435553
AMD.O,2020-01-21,57,50.028999999999996,2020-01-24,49.47,51.529869999999995,2020-02-10 00:00:00,51.529869999999995,1.500869999999999,2.9999999999999982
AMD.O,2020-01-22,57,50.401399999999995,2020-01-24,49.47,51.913441999999996,2020-02-10 00:00:00,51.913441999999996,1.512042000000001,3.000000000000002
AMD.O,2020-01-23,57,50.6758,2020-01-24,49.47,52.196074,2020-02-10 00:00:00,52.196074,1.5202740000000006,3.000000000000001
AMD.O,2020-01-24,57,49.343,2020-01-27,47.9,50.82329000000001,2020-02-10 00:00:00,50.82329000000001,1.4802900000000037,3.000000000000007
AMD.O,2019-10-22,58,30.8798,2019-10-23,30.83,31.806194,2019-10-30 00:00:00,31.806194,0.9263940000000019,3.0000000000000067
AMD.O,2019-10-28,58,33.0162,2019-10-29,32.7,34.006686,2019-10-31 00:00:00,34.006686,0.9904860000000042,3.000000000000013
AMD.O,2019-07-24,59,33.4278,2019-07-29,32.98,34.430634,2019-08-09 00:00:00,34.430634,1.002834,3.0000000000000004
AMD.O,2019-07-25,59,32.9966,2019-07-29,32.98,33.986498000000005,2019-08-08 00:00:00,33.986498000000005,0.9898980000000037,3.0000000000000115
AMD.O,2019-07-26,59,33.339600000000004,2019-07-29,32.98,34.339788000000006,2019-08-09 00:00:00,34.339788000000006,1.0001880000000014,3.0000000000000036
AMD.O,2019-04-23,60,27.4106,2019-04-25,27.36,28.232917999999998,2019-05-01 00:00:00,28.232917999999998,0.8223179999999992,2.9999999999999973
AMD.O,2019-04-24,60,27.8908,2019-04-25,27.36,28.727524,2019-05-01 00:00:00,28.727524,0.8367240000000002,3.000000000000001
AMD.O,2019-04-25,60,27.1068,2019-04-26,27.05,27.920004000000002,2019-05-01 00:00:00,27.920004000000002,0.8132040000000025,3.0000000000000093
AMD.O,2019-04-26,60,27.3224,2019-04-30,26.94,28.142072,2019-05-01 00:00:00,28.142072,0.8196720000000006,3.000000000000002
AMD.O,2019-04-29,60,27.136200000000002,2019-04-30,26.94,27.950286000000002,2019-05-01 00:00:00,27.950286000000002,0.8140859999999996,2.9999999999999987
